,AccountStatus,Duration,CreditHistory,Purpose,CreditAmount,Savings,EmploymentDuration,InstallmentRatePercent,PersonalStatusAndSex,OtherDebtors,ResidenceDuration,Property,Age,OtherInstallment,Housing,CreditsInThisBank,Job,NumberOfPeopleLiableToMaintenance,Telephone,Foreign,Decision
670,No account,24,Has credits in other banks,business,4139,100-500 DM,employed from 1 to 4 years,3,male single,none,3,building society savings agreement/life insurance,27,none,own,2,unskilled - resident,1,yes,yes,1
671,No account,36,Existing credits paid duly till now,business,5742,100-500 DM,employed from 4 to 7 years,2,male single,none,2,"car or other, not in attribute 6",31,none,own,2,skilled employee/official,1,yes,yes,1
672,No account,60,Existing credits paid duly till now,new car,10366,<100 DM,employed 7 years or more,2,male single,none,4,building society savings agreement/life insurance,42,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
673,No account,6,Has credits in other banks,new car,2080,500-1000 DM,employed from 1 to 4 years,1,male married/widowed,none,2,"car or other, not in attribute 6",24,none,own,1,skilled employee/official,1,none,yes,1
674,No account,21,Delay in paying in past,business,2580,500-1000 DM,employed under 1 year,4,male single,none,2,real estate,41,bank,own,1,unskilled - resident,2,none,yes,2
675,No account,30,Has credits in other banks,radio/TV,4530,<100 DM,employed from 4 to 7 years,4,female divorced/separated/married,none,4,"car or other, not in attribute 6",26,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
676,No account,24,Has credits in other banks,furnitures,5150,<100 DM,employed 7 years or more,4,male single,none,4,"car or other, not in attribute 6",33,none,own,1,skilled employee/official,1,yes,yes,1
677,<200 DM,72,Existing credits paid duly till now,radio/TV,5595,100-500 DM,employed from 1 to 4 years,2,male married/widowed,none,2,"car or other, not in attribute 6",24,none,own,1,skilled employee/official,1,none,yes,2
678,0 DM,24,Existing credits paid duly till now,radio/TV,2384,<100 DM,employed 7 years or more,4,male single,none,4,real estate,64,bank,rent,1,unskilled - resident,1,none,yes,1
679,No account,18,Existing credits paid duly till now,radio/TV,1453,<100 DM,employed under 1 year,3,female divorced/separated/married,none,1,real estate,26,none,own,1,skilled employee/official,1,none,yes,1
680,No account,6,Existing credits paid duly till now,education,1538,<100 DM,employed under 1 year,1,female divorced/separated/married,none,2,unknown/no property,56,none,own,1,skilled employee/official,1,none,yes,1
681,No account,12,Existing credits paid duly till now,radio/TV,2279,Unknown/No savings,employed from 1 to 4 years,4,male single,none,4,unknown/no property,37,none,for free,1,skilled employee/official,1,yes,yes,1
682,No account,15,Delay in paying in past,radio/TV,1478,<100 DM,employed from 1 to 4 years,4,male married/widowed,none,3,real estate,33,bank,own,2,skilled employee/official,1,none,yes,1
683,No account,24,Has credits in other banks,radio/TV,5103,<100 DM,employed under 1 year,3,male married/widowed,none,3,unknown/no property,47,none,for free,3,skilled employee/official,1,yes,yes,1
684,<200 DM,36,Delay in paying in past,business,9857,100-500 DM,employed from 4 to 7 years,1,male single,none,3,building society savings agreement/life insurance,31,none,own,2,unskilled - resident,2,yes,yes,1
685,No account,60,Existing credits paid duly till now,new car,6527,Unknown/No savings,employed from 1 to 4 years,4,male single,none,4,unknown/no property,34,none,for free,1,skilled employee/official,2,yes,yes,1
686,>=200 DM,10,Has credits in other banks,radio/TV,1347,Unknown/No savings,employed from 4 to 7 years,4,male single,none,2,building society savings agreement/life insurance,27,none,own,2,skilled employee/official,1,yes,yes,1
687,<200 DM,36,Delay in paying in past,new car,2862,100-500 DM,employed 7 years or more,4,male single,none,3,unknown/no property,30,none,for free,1,skilled employee/official,1,none,yes,1
688,No account,9,Existing credits paid duly till now,radio/TV,2753,100-500 DM,employed 7 years or more,3,male single,co-applicant,4,"car or other, not in attribute 6",35,none,own,1,skilled employee/official,1,yes,yes,1
689,0 DM,12,Existing credits paid duly till now,new car,3651,>1000 DM,employed from 1 to 4 years,1,male single,none,3,building society savings agreement/life insurance,31,none,own,1,skilled employee/official,2,none,yes,1
690,0 DM,15,Has credits in other banks,furnitures,975,<100 DM,employed from 1 to 4 years,2,male divorced/separated,none,3,building society savings agreement/life insurance,25,none,own,2,skilled employee/official,1,none,yes,1
691,<200 DM,15,Existing credits paid duly till now,repairs,2631,100-500 DM,employed from 1 to 4 years,3,female divorced/separated/married,none,2,real estate,25,none,own,1,unskilled - resident,1,none,yes,1
692,<200 DM,24,Existing credits paid duly till now,radio/TV,2896,100-500 DM,employed under 1 year,2,male single,none,1,"car or other, not in attribute 6",29,none,own,1,skilled employee/official,1,none,yes,1
693,0 DM,6,Has credits in other banks,new car,4716,Unknown/No savings,employed under 1 year,1,male single,none,3,real estate,44,none,own,2,unskilled - resident,2,none,yes,1
694,No account,24,Existing credits paid duly till now,radio/TV,2284,<100 DM,employed from 4 to 7 years,4,male single,none,2,"car or other, not in attribute 6",28,none,own,1,skilled employee/official,1,yes,yes,1
695,No account,6,Existing credits paid duly till now,used car,1236,500-1000 DM,employed from 1 to 4 years,2,male single,none,4,building society savings agreement/life insurance,50,none,rent,1,skilled employee/official,1,none,yes,1
696,<200 DM,12,Existing credits paid duly till now,radio/TV,1103,<100 DM,employed from 4 to 7 years,4,male single,guarantor,3,real estate,29,none,own,2,skilled employee/official,1,none,no,1
697,No account,12,Has credits in other banks,new car,926,<100 DM,unemployed,1,female divorced/separated/married,none,2,building society savings agreement/life insurance,38,none,own,1,unemployed/unskilled - non-resident,1,none,yes,1
698,No account,18,Has credits in other banks,radio/TV,1800,<100 DM,employed from 1 to 4 years,4,male single,none,2,"car or other, not in attribute 6",24,none,own,2,skilled employee/official,1,none,yes,1
699,>=200 DM,15,Existing credits paid duly till now,education,1905,<100 DM,employed 7 years or more,4,male single,none,4,"car or other, not in attribute 6",40,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
700,No account,12,Existing credits paid duly till now,furnitures,1123,500-1000 DM,employed from 1 to 4 years,4,female divorced/separated/married,none,4,"car or other, not in attribute 6",29,none,rent,1,unskilled - resident,1,none,yes,2
701,0 DM,48,Has credits in other banks,used car,6331,<100 DM,employed 7 years or more,4,male single,none,4,unknown/no property,46,none,for free,2,skilled employee/official,1,yes,yes,2
702,>=200 DM,24,Existing credits paid duly till now,radio/TV,1377,100-500 DM,employed 7 years or more,4,female divorced/separated/married,none,2,unknown/no property,47,none,for free,1,skilled employee/official,1,yes,yes,1
703,<200 DM,30,Delay in paying in past,business,2503,100-500 DM,employed 7 years or more,4,male single,none,2,building society savings agreement/life insurance,41,stores,own,2,skilled employee/official,1,none,yes,1
704,<200 DM,27,Existing credits paid duly till now,business,2528,<100 DM,employed under 1 year,4,female divorced/separated/married,none,1,building society savings agreement/life insurance,32,none,own,1,skilled employee/official,2,yes,yes,1
705,No account,15,Existing credits paid duly till now,new car,5324,500-1000 DM,employed 7 years or more,1,female divorced/separated/married,none,4,unknown/no property,35,none,for free,1,skilled employee/official,1,none,yes,1
706,<200 DM,48,Existing credits paid duly till now,new car,6560,100-500 DM,employed from 4 to 7 years,3,male single,none,2,building society savings agreement/life insurance,24,none,own,1,skilled employee/official,1,none,yes,2
707,<200 DM,12,No credits taken,furnitures,2969,<100 DM,employed under 1 year,4,female divorced/separated/married,none,3,building society savings agreement/life insurance,25,none,rent,2,skilled employee/official,1,none,yes,2
708,<200 DM,9,Existing credits paid duly till now,radio/TV,1206,<100 DM,employed 7 years or more,4,female divorced/separated/married,none,4,real estate,25,none,own,1,skilled employee/official,1,none,yes,1
709,<200 DM,9,Existing credits paid duly till now,radio/TV,2118,<100 DM,employed from 1 to 4 years,2,male single,none,2,real estate,37,none,own,1,unskilled - resident,2,none,yes,1
710,No account,18,Has credits in other banks,radio/TV,629,500-1000 DM,employed 7 years or more,4,male single,none,3,building society savings agreement/life insurance,32,bank,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1
711,0 DM,6,All credits paid duly,education,1198,<100 DM,employed 7 years or more,4,female divorced/separated/married,none,4,unknown/no property,35,none,for free,1,skilled employee/official,1,none,yes,2
712,No account,21,Existing credits paid duly till now,used car,2476,Unknown/No savings,employed 7 years or more,4,male single,none,4,real estate,46,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
713,0 DM,9,Has credits in other banks,radio/TV,1138,<100 DM,employed from 1 to 4 years,4,male single,none,4,real estate,25,none,own,2,unskilled - resident,1,none,yes,1
714,<200 DM,60,Existing credits paid duly till now,new car,14027,<100 DM,employed from 4 to 7 years,4,male single,none,2,unknown/no property,27,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,2
715,No account,30,Has credits in other banks,used car,7596,Unknown/No savings,employed 7 years or more,1,male single,none,4,"car or other, not in attribute 6",63,none,own,2,skilled employee/official,1,none,yes,1
716,No account,30,Has credits in other banks,radio/TV,3077,Unknown/No savings,employed 7 years or more,3,male single,none,2,"car or other, not in attribute 6",40,none,own,2,skilled employee/official,2,yes,yes,1
717,No account,18,Existing credits paid duly till now,radio/TV,1505,<100 DM,employed from 1 to 4 years,4,male single,none,2,unknown/no property,32,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
718,>=200 DM,24,Has credits in other banks,radio/TV,3148,Unknown/No savings,employed from 1 to 4 years,3,male single,none,2,"car or other, not in attribute 6",31,none,own,2,skilled employee/official,1,yes,yes,1
719,<200 DM,20,No credits taken,used car,6148,100-500 DM,employed 7 years or more,3,male married/widowed,none,4,"car or other, not in attribute 6",31,bank,own,2,skilled employee/official,1,yes,yes,1
720,>=200 DM,9,No credits taken,radio/TV,1337,<100 DM,employed under 1 year,4,male single,none,2,"car or other, not in attribute 6",34,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,2
721,<200 DM,6,All credits paid duly,education,433,>1000 DM,employed under 1 year,4,female divorced/separated/married,none,2,building society savings agreement/life insurance,24,bank,rent,1,skilled employee/official,2,none,yes,2
722,0 DM,12,Existing credits paid duly till now,new car,1228,<100 DM,employed from 1 to 4 years,4,female divorced/separated/married,none,2,real estate,24,none,own,1,unskilled - resident,1,none,yes,2
723,<200 DM,9,Existing credits paid duly till now,radio/TV,790,500-1000 DM,employed from 1 to 4 years,4,female divorced/separated/married,none,3,real estate,66,none,own,1,unskilled - resident,1,none,yes,1
724,No account,27,Existing credits paid duly till now,new car,2570,<100 DM,employed from 1 to 4 years,3,female divorced/separated/married,none,3,real estate,21,none,rent,1,skilled employee/official,1,none,yes,2
725,No account,6,Has credits in other banks,new car,250,>1000 DM,employed from 1 to 4 years,2,female divorced/separated/married,none,2,real estate,41,bank,own,2,unskilled - resident,1,none,yes,1
726,No account,15,Has credits in other banks,radio/TV,1316,500-1000 DM,employed from 1 to 4 years,2,male married/widowed,none,2,building society savings agreement/life insurance,47,none,own,2,unskilled - resident,1,none,yes,1
727,0 DM,18,Existing credits paid duly till now,radio/TV,1882,<100 DM,employed from 1 to 4 years,4,female divorced/separated/married,none,4,"car or other, not in attribute 6",25,bank,rent,2,skilled employee/official,1,none,yes,2
728,<200 DM,48,All credits paid duly,business,6416,<100 DM,employed 7 years or more,4,female divorced/separated/married,none,3,unknown/no property,59,none,rent,1,skilled employee/official,1,none,yes,2
729,>=200 DM,24,Has credits in other banks,business,1275,>1000 DM,employed from 1 to 4 years,2,male divorced/separated,none,4,real estate,36,none,own,2,skilled employee/official,1,yes,yes,1
730,<200 DM,24,Delay in paying in past,radio/TV,6403,<100 DM,employed under 1 year,1,male single,none,2,"car or other, not in attribute 6",33,none,own,1,skilled employee/official,1,none,yes,1
731,0 DM,24,Existing credits paid duly till now,radio/TV,1987,<100 DM,employed from 1 to 4 years,2,male single,none,4,real estate,21,none,rent,1,unskilled - resident,2,none,yes,2
732,<200 DM,8,Existing credits paid duly till now,radio/TV,760,<100 DM,employed from 4 to 7 years,4,female divorced/separated/married,guarantor,2,real estate,44,none,own,1,unskilled - resident,1,none,yes,1
733,No account,24,Existing credits paid duly till now,used car,2603,>1000 DM,employed from 1 to 4 years,2,female divorced/separated/married,none,4,"car or other, not in attribute 6",28,none,rent,1,skilled employee/official,1,yes,yes,1
